id,filename,label,s02,e0,sigma2,deltar
1,FeS2_feff/feff0001.dat,S.Fe.1,amp,enot,ss01,alpha*reff
2,FeS2_feff/feff0002.dat,S.Fe.2,amp,enot,ss02,alpha*reff
3,FeS2_feff/feff0003.dat,S.Fe.3,amp,enot,ss03,alpha*reff
4,FeS2_feff/feff0004.dat,Fe.Fe.4,amp,enot,ss04,alpha*reff
5,FeS2_feff/feff0005.dat,S.S.Fe.5,amp,enot,ss05,alpha*reff
6,FeS2_feff/feff0006.dat,Fe.S.Fe.6,amp,enot,ss06,alpha*reff
7,FeS2_feff/feff0007.dat,S.S.Fe.7,amp,enot,ss07,alpha*reff
8,FeS2_feff/feff0008.dat,S.S.S.Fe.8,amp,enot,ss08,alpha*reff
9,FeS2_feff/feff0009.dat,S.Fe.9,amp,enot,ss09,alpha*reff
10,FeS2_feff/feff0010.dat,S.S.Fe.10,amp,enot,ss10,alpha*reff
11,FeS2_feff/feff0011.dat,S.S.Fe.11,amp,enot,ss11,alpha*reff
